Rank,Youtuber,Subscribers,Video Views,Video Count,Category,Started
1,MrBeast,284000000,52402898889,803,Entertainment,2012
2,T-Series,268000000,2.58624E+11,21237,Music,2006
3,YouTube Movies,181000000,0,0,Film & Animation,2015
4,Cocomelon - Nursery Rhymes,177000000,1.82881E+11,1188,Education,2006
5,SET India,174000000,1.65395E+11,139720,Shows,2006
6,? Kids Diana Show,123000000,1.03973E+11,1230,People & Blogs,2015
7,Music,121000000,0,0,,2013
8,Vlad and Niki,120000000,91646190811,730,Entertainment,2018
9,Like Nastya,116000000,1.01394E+11,886,People & Blogs,2016
10,PewDiePie,111000000,29321159091,4767,Gaming,2010
11,Zee Music Company,108000000,67216985556,11377,Music,2014
12,WWE,102000000,85384982910,77038,Sports,2007
13,Goldmines,97500000,29155729617,8620,Film & Animation,2012
14,BLACKPINK,94000000,36021960664,596,People & Blogs,2016
15,Gaming,93200000,0,0,,2013
16,Sony SAB,93000000,1.15866E+11,86358,Shows,2007
17,ChuChu TV Nursery Rhymes & Kids Songs,91600000,51262420930,800,Education,2013
18,Zee TV,81200000,90000427523,176124,Entertainment,2005
19,5-Minute Crafts,80700000,27434203181,7075,Howto & Style,2016
20,BANGTANTV,78400000,22968911487,2514,Music,2012
21,Baby Shark - Pinkfong Kids’ Songs & Stories,75600000,44257239905,3246,Education,2011
22,HYBE LABELS,75000000,34479738871,1885,Music,2008
23,Sports,74800000,0,0,,2013
24,Colors TV,73400000,71364800889,153513,Shows,2008
25,Justin Bieber,73100000,32308818102,249,Music,2007
26,Shemaroo Filmi Gaane,68700000,29397867987,8605,Music,2010
27,Stokes Twins,68300000,9818385752,306,People & Blogs,2008
28,T-Series Bhakti Sagar,68000000,34189207296,28100,Music,2011
29,Canal KondZilla,67200000,38329586816,2815,Music,2012
30,Tips Official,66600000,39139899623,5902,Music,2007
31,Aaj Tak,65600000,32214581935,368830,News & Politics,2009
32,El Reino Infantil,64600000,60761135038,1486,Music,2011
33,Infobells - Hindi,62600000,36328986679,678,Education,2014
34,Wave Music,62100000,42833762859,20178,Music,2014
35,Movieclips,61500000,62338500436,40704,Film & Animation,2006
36,Sony Music India,60700000,32118521781,4733,Music,2009
37,EminemMusic,60600000,30036530673,166,Music,2007
38,Dude Perfect,60300000,17491404083,439,Sports,2009
39,YRF,60300000,41359440414,4112,Film & Animation,2006
40,Taylor Swift,59300000,35440261917,269,Music,2006
41,ZAMZAM ELECTRONICS TRADING,58300000,26789058165,17774,People & Blogs,2020
42,Toys and Colors,57500000,66644295424,1253,Entertainment,2016
43,Marshmello,57200000,15744870591,485,Entertainment,2015
44,LooLoo Kids - Nursery Rhymes and Children's Songs,57000000,34798159048,849,Music,2014
45,BillionSurpriseToys  - Nursery Rhymes & Cartoons,56800000,11644948752,1064,Education,2013
46,A4,55300000,29012818353,921,Gaming,2014
47,HAR PAL GEO,55100000,54328207503,134922,Entertainment,2008
48,Ed Sheeran,54800000,32437895947,503,Music,2006
49,PANDA BOI,54700000,24455338211,1101,Entertainment,2020
50,Ariana Grande,54300000,26209779791,196,Music,2007
51,ARY Digital HD,54100000,51486376307,140325,Entertainment,2016
52,Mark Rober,53800000,6475616024,158,Science & Technology,2011
53,Shemaroo,53700000,24636720319,12358,Entertainment,2007
54,Fede Vigevani,52000000,14401513141,1335,Howto & Style,2009
55,Billie Eilish,52000000,15885605065,123,Music,2013
56,Get Movies,51200000,33067549283,3514,Entertainment,2006
57,KL BRO Biju Rithvik,50900000,40706264718,2563,Entertainment,2020
58,SonyMusicIndiaVEVO,50700000,31122118160,3747,Music,2009
59,Mikecrack,50400000,18621074107,2043,Gaming,2015
60,JuegaGerman,50300000,15501312729,2181,Gaming,2013
61,YOLO AVENTURAS,49900000,16415333003,2395,People & Blogs,2018
62,Jess No Limit,49800000,6520658024,2948,Entertainment,2017
63,?????? ???????? - Acharya Prashant,49400000,2688506741,10380,,2014
64,???? ? ???????,48600000,40438782884,1722,Film & Animation,2011
65,Masha and The Bear,48300000,28431795814,1450,Shows,2014
66,ABS-CBN Entertainment,48300000,54986977484,226640,People & Blogs,2008
67,BETER BÖCÜK,47900000,28622092736,4786,Gaming,2012
68,Bad Bunny,47900000,35362414855,155,Music,2014
